"_date","station","lng_type","time_group","ke","oal"
2021-03-15,ICN,MR,BK,3,0
2021-03-15,ICN,MR,LN,2,0
2021-03-15,ICN,PR,BK,39,7
2021-03-15,ICN,PR,DN,23,24
2021-03-15,ICN,PR,LN,37,3
2021-03-16,ICN,FR,DN,1,0
2021-03-16,ICN,MR,LN,5,0
2021-03-16,ICN,PR,BK,19,2
2021-03-16,ICN,PR,DN,42,8
2021-03-16,ICN,PR,LN,26,7
2021-03-17,ICN,FR,BK,1,0
2021-03-17,ICN,FR,DN,3,0
2021-03-17,ICN,MR,BK,8,1
2021-03-17,ICN,MR,DN,5,0
2021-03-17,ICN,MR,LN,3,0
2021-03-17,ICN,PR,BK,86,6
2021-03-17,ICN,PR,DN,27,0
2021-03-17,ICN,PR,LN,30,0
2021-03-18,ICN,FR,DN,1,0
2021-03-18,ICN,MR,BK,4,0
2021-03-18,ICN,MR,DN,3,0
2021-03-18,ICN,MR,LN,1,0
2021-03-18,ICN,PR,BK,41,9
2021-03-18,ICN,PR,DN,42,28
2021-03-18,ICN,PR,LN,18,10
2021-03-19,ICN,FR,BK,1,0
2021-03-19,ICN,FR,DN,1,0
2021-03-19,ICN,MR,BK,12,0
2021-03-19,ICN,MR,LN,8,0
2021-03-19,ICN,PR,BK,72,19
2021-03-19,ICN,PR,DN,19,0
2021-03-19,ICN,PR,LN,91,0
2021-03-20,ICN,FR,BK,2,0
2021-03-20,ICN,FR,LN,3,0
2021-03-20,ICN,MR,BK,1,0
2021-03-20,ICN,MR,DN,1,0
2021-03-20,ICN,MR,LN,4,0
2021-03-20,ICN,PR,BK,65,23
2021-03-20,ICN,PR,DN,19,28
2021-03-20,ICN,PR,LN,31,17
2021-03-21,ICN,FR,DN,1,0
2021-03-21,ICN,MR,BK,7,0
2021-03-21,ICN,MR,DN,4,0
2021-03-21,ICN,MR,LN,2,0
2021-03-21,ICN,PR,BK,58,12
2021-03-21,ICN,PR,DN,33,2
2021-03-21,ICN,PR,LN,33,10
2021-03-22,ICN,FR,LN,1,0
2021-03-22,ICN,MR,BK,4,0
2021-03-22,ICN,MR,LN,2,0
2021-03-22,ICN,PR,BK,51,9
2021-03-22,ICN,PR,DN,5,11
2021-03-22,ICN,PR,LN,21,1
2021-03-23,ICN,FR,DN,1,0
2021-03-23,ICN,MR,DN,3,0
2021-03-23,ICN,MR,LN,4,0
2021-03-23,ICN,PR,BK,29,6
2021-03-23,ICN,PR,DN,32,10
2021-03-23,ICN,PR,LN,31,11
2021-03-24,ICN,FR,BK,1,0
2021-03-24,ICN,FR,DN,1,0
2021-03-24,ICN,MR,BK,10,0
2021-03-24,ICN,MR,DN,1,0
2021-03-24,ICN,PR,BK,89,7
2021-03-24,ICN,PR,DN,17,4
2021-03-24,ICN,PR,LN,31,1
2021-03-25,ICN,FR,BK,1,0
2021-03-25,ICN,MR,BK,7,0
2021-03-25,ICN,MR,DN,6,0
2021-03-25,ICN,PR,BK,54,8
2021-03-25,ICN,PR,DN,34,29
2021-03-25,ICN,PR,LN,20,10
2021-03-26,ICN,FR,LN,3,0
2021-03-26,ICN,MR,BK,1,0
2021-03-26,ICN,MR,DN,3,0
2021-03-26,ICN,MR,LN,3,0
2021-03-26,ICN,PR,BK,85,6
2021-03-26,ICN,PR,DN,16,1
2021-03-26,ICN,PR,LN,80,0
2021-03-27,ICN,FR,BK,3,0
2021-03-27,ICN,FR,DN,3,0
2021-03-27,ICN,MR,BK,2,0
2021-03-27,ICN,MR,DN,3,0
2021-03-27,ICN,MR,LN,2,0
2021-03-27,ICN,PR,BK,68,8
2021-03-27,ICN,PR,DN,30,20
2021-03-27,ICN,PR,LN,47,5
2021-03-28,ICN,FR,BK,2,0
